@relation train_10K-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10

@attribute lucene numeric
@attribute inlink numeric
@attribute outlink numeric
@attribute valid {0,1}

@data

4.114231,3,93,0
10.469152,553,157,1
10.096477,335,211,1
15.607887,930,91,1
5.906199,186,197,0
15.607887,362,216,1
7.348587,14,17,0
5.551233,3,18,0
7.341973,4,15,0
8.673003,2814,279,1
10.121017,0,0,1
9.555797,469,42,1
6.058146,8,32,0
7.843591,47,54,0
11.983546,717,69,1
15.607887,14494,1193,1
15.607887,984,29,1
6.811473,49,54,0
6.09551,1,15,0
6.513094,186,166,0
9.971313,28,38,0
15.607887,2192,212,1
15.607887,1584,40,1
5.394129,84,77,0
15.607887,515,61,1
15.607887,597,225,1
5.466287,3,8,0
8.082787,2681,281,1
5.091584,5,8,0
7.208234,52,25,1
15.607887,3555,504,1
15.607887,688,134,1
15.607887,1141,588,1
15.607887,688,134,1
15.607887,707,171,1
15.202422,13704,539,1
9.590511,10674,337,1
12.240591,742,135,1
6.571336,311,169,1
7.441616,16,32,1
6.773252,42,59,0
6.131444,25,48,0
3.910014,2,6,0
15.607887,933,521,1
5.416487,27,55,0
15.607887,391,85,1
5.345629,2,13,0
6.490521,93,128,0
7.190777,16,12,0
8.845157,3,62,1
8.12619,4,63,0
6.272333,744,475,0
3.209499,5,6,0
9.333125,0,25,0
15.607887,677,199,1
7.616675,2,10,0
7.031986,1,4,0
13.467821,0,0,1
15.607887,0,0,1
15.607887,164,63,1
7.843591,3,13,0
8.926405,13545,934,1
5.123297,3,24,0
7.786418,80,155,0
12.355514,161,127,1
6.675396,1186,164,1
6.985669,10,17,0
7.303696,2,3,0
15.607887,499,82,1
3.325897,43,47,0
11.529342,3,9,0
6.407063,130,174,0
7.345798,72,37,0
7.616675,3,32,0
15.607887,0,0,1
5.540258,198,108,0
8.596221,3710,165,1
8.686722,0,29,0
6.301521,5,5,0
12.663447,0,0,1
15.607887,5656,854,1
15.202422,344,279,1
9.912158,7,17,0
15.607887,147,112,1
7.837396,11,61,0
6.590807,120,33,0
9.295245,0,0,1
13.317994,234,281,1
9.824061,2723,316,1
6.939086,149,73,0
7.532459,4,10,0
5.459526,0,8,0
9.233714,9,24,0
9.909117,331,252,1
6.454516,5,11,0
9.822525,98,35,1
15.607887,11,42,1
15.607887,443,36,1
11.547443,443,36,1
11.846687,64,97,1
6.459554,6,3,0
15.607887,233,135,1
7.069126,69,153,1
5.317412,0,0,0
6.404121,70,96,0
9.976675,7157,399,1
6.739739,18,9,0
10.04913,0,0,1
13.256512,1426,273,1
15.607887,710,25,1
9.8391,0,0,0
5.325196,25,47,0
15.607887,688,134,1
15.202422,642,230,1
10.803866,24,69,0
6.935642,9,19,0
13.042937,0,0,1
6.797553,6,12,0
15.607887,862,119,1
15.607887,688,134,1
6.861265,1,8,0
6.345354,12,28,0
10.342609,18,26,0
15.607887,1045,367,1
15.607887,971,334,1
10.695976,1035,186,1
6.193198,64,53,0
2.659114,90,29,0
7.54911,42,22,1
4.208021,17,15,0
15.202422,116,211,1
15.607887,1897,224,1
15.607887,99671,1058,1
3.325897,43,47,0
15.607887,2027,145,1
15.607887,1203,25,1
10.443101,0,0,1
15.607887,178,157,1
5.562442,17,32,0
15.607887,61549,792,1
5.616065,1,60,0
15.607887,1892,167,1
6.477186,4,7,0
6.30932,58,144,0
4.992838,29,14,0
10.50802,2534,622,1
8.082787,2681,281,1
6.043969,2,14,0
15.607887,1203,25,1
6.040763,0,0,0
6.58277,149,138,1
6.252453,72,76,0
5.016028,4163,141,1
7.867164,70,23,1
15.607887,0,0,1
7.418886,2,6,0
15.607887,1933,233,1
6.766254,0,20,0
15.607887,140441,1039,1
15.607887,42,87,1
5.123297,50,84,0
15.202422,19464,252,1
11.183041,0,0,1
5.325196,2,17,0
8.975885,14524,993,0
12.052539,10076,243,1
3.600511,173,192,0
7.749247,2,1,0
7.465203,11,8,0
7.695031,28,29,1
5.232583,143,114,0
4.836792,13,27,0
5.89827,8,184,0
8.673003,2814,279,1
7.355271,5,30,0
3.325897,12,67,0
12.31205,1903,215,1
15.607887,4147,42,1
5.420627,3,9,0
3.325897,12,67,0
7.359645,30,27,0
11.628204,88,127,0
5.325196,2,85,0
15.607887,293,15,1
4.748793,7,50,0
6.819466,288,123,1
9.882669,0,0,0
6.265245,2,9,0
13.998448,4902,97,1
6.053105,85,144,0
3.456374,2,11,0
11.714363,481,141,1
8.538735,116,97,0
8.452507,5,21,0
15.607887,2844,59,1
15.607887,214,36,1
6.507678,55,69,0
6.689133,4,6,0
15.607887,481,113,1
2.717747,166,47,0
8.770172,1665,396,1
2.006564,20,24,0
5.107381,2,28,0
6.235422,15,17,0
10.475034,665,102,1
15.607887,4347,180,1
5.411528,0,9,0
6.902212,2,6,0
15.607887,4563,432,1
14.266686,429,383,1
15.607887,4511,541,1
7.75576,1,18,0
15.202422,19464,252,1
4.753985,18,31,0
15.607887,515,61,1
10.880499,15,18,1
6.257074,154,19,0
15.607887,96,50,1
15.607887,6625,626,1
6.26083,10,25,0
15.607887,2589,77,1
8.046592,0,10,0
3.325897,51,56,0
11.108077,0,0,0
11.283754,893,361,1
15.607887,2027,145,1
5.773722,1,14,0
7.966054,352,104,1
7.086368,2,1,0
5.123297,5,11,0
7.069126,362,21,0
15.607887,211,26,1
9.359844,11703,785,1
6.515492,53,44,0
5.895087,8,20,0
5.28002,636,133,1
8.643751,0,0,1
8.342807,0,0,1
6.404121,59,31,0
15.607887,5631,376,1
15.607887,75,123,1
5.705342,4,25,0
8.872701,0,0,1
6.179797,977,337,0
12.745687,0,0,1
5.809451,136,127,0
5.420627,60,62,0
15.607887,99671,1058,1
15.202422,489,259,1
7.031986,5,10,0
6.577114,8,15,0
15.607887,995,136,1
15.607887,0,0,1
7.201194,3,7,0
15.607887,2263,523,1
7.184053,5,4,0
7.117737,1,4,0
12.409216,0,0,0
9.899117,0,0,1
6.16941,3,7,0
6.465905,3,15,0
5.923344,0,9,0
6.302767,95,176,0
6.590807,0,9,0
13.698675,29,18,1
6.625369,99,25,0
9.223474,307,188,1
6.243381,80,69,0
15.607887,813,479,1
5.406048,35,66,0
5.438052,2,19,0
6.773252,119,137,0
10.072523,38,59,0
6.056461,167,192,0
10.600591,2217,104,1
9.680961,0,0,1
7.160529,56,40,0
15.607887,393,169,1
9.976675,7157,399,1
5.625589,2,4,0
15.607887,2064,225,1
15.607887,2814,279,1
15.607887,737,228,1
5.18154,4,18,0
13.410663,614,335,1
10.600591,0,0,1
3.325897,3,120,0
15.607887,336,128,1
7.244691,0,11,0
6.974607,82,26,1
4.925771,1,5,0
7.41149,66,13,0
15.607887,443,36,1
6.796492,2,7,0
15.607887,0,0,0
11.944325,10485,253,1
5.249553,0,7,0
6.252453,57,59,0
15.607887,448,316,1
14.691596,7,1,1
4.31754,2,2,0
6.009537,1,5,0
7.485623,70,23,1
6.097303,0,0,0
3.325897,2,13,0
4.984527,0,5,0
6.163552,16,30,0
9.174947,444,41,1
6.546896,7,22,0
6.60582,79,64,0
6.623282,44,14,0
15.607887,392,55,1
6.382494,12,35,0
15.607887,262,43,1
15.607887,1678,98,1
15.607887,0,0,1
15.607887,2122,113,1
4.641354,2,26,0
14.691596,54,21,1
11.449004,0,0,1
15.08642,164,140,0
9.703889,12520,406,1
5.123297,2,29,0
15.607887,4563,432,1
7.310327,43,44,0
15.202422,3707,621,1
16.021418,5076,340,1
5.699176,12,24,0
6.834412,4,5,0
7.578617,24,36,0
6.314097,12,10,0
7.086537,1169,84,1
12.180079,22,275,1
5.699176,63,98,0
5.47935,8,57,0
6.204608,1,56,0
10.265553,238,73,1
6.732254,0,0,0
9.223474,307,188,1
13.998448,87,51,1
10.340029,936,48,1
5.304486,3,62,1
15.607887,96,50,1
15.607887,598,255,1
7.064888,10,17,0
9.283528,3909,497,1
15.607887,2345,118,1
9.962441,23117,580,1
8.082787,2681,281,1
6.29562,6,8,0
14.285839,169,167,1
4.824765,95,86,0
5.325196,25,47,0
6.137841,76,82,0
7.87486,5,50,0
5.978239,0,0,0
15.607887,1167,361,1
15.607887,839,444,1
10.477988,0,0,0
7.077688,1,5,0
8.440324,303,187,1
5.724502,5,7,0
5.732336,69,12,0
12.35182,6,9,1
8.81488,410,102,1
6.666403,100,94,0
8.596221,3710,165,1
11.183041,0,0,1
4.623209,4,100,0
6.734738,1,5,0
14.12444,10,8,1
5.807266,7,131,0
5.325196,0,78,0
8.645643,3707,621,1
15.607887,167,141,1
11.647074,0,0,1
4.91999,216,69,0
6.883722,73,66,1
9.387297,2129,221,1
4.758793,0,1,0
12.34979,656,41,1
3.180304,3,14,0
6.827099,4206,323,1
6.453669,4,9,0
3.325897,4,45,0
15.607887,1141,588,1
11.716066,181,116,1
5.887907,55,57,0
7.695031,1,6,0
3.325897,51,56,0
7.250346,2,8,0
9.915483,368,209,1
10.987828,0,0,0
5.94083,73,16,0
5.334911,4,74,0
15.607887,4347,180,1
10.005768,56,51,0
5.998485,42,17,0
3.325897,70,75,0
9.214296,3245,193,1
15.607887,214,36,1
7.669798,108,94,0
6.027692,53,30,0
3.325897,12,67,0
10.50802,96,98,0
10.982914,0,0,1
15.607887,707,171,1
6.246724,37,33,0
5.732376,3,10,0
15.607887,30547,538,1
12.596008,77,34,1
9.296923,138,61,0
15.607887,181,116,1
5.795753,9,23,0
15.607887,1556,84,1
16.864338,303,187,1
15.607887,499,82,1
15.607887,1690,646,1
6.814294,10,17,0
15.607887,199,148,1
10.987828,619,32,1
14.221593,633,158,1
6.928812,119,131,0
5.406048,2,8,0
6.985669,1319,346,1
13.356595,0,0,0
15.607887,75,123,1
15.607887,1933,233,1
5.863962,1,9,0
6.864321,5631,376,1
5.807266,17,20,0
6.448185,5,112,0
15.607887,8139,723,1
10.302097,692,902,1
6.762747,17,131,0
6.819977,78,23,0
9.620185,3489,500,1
13.528445,0,0,1
15.202422,327,240,1
5.752622,172,218,0
8.256245,48,53,0
15.607887,2263,523,1
7.861154,2751,300,1
5.740377,51,63,0
9.161373,42623,1149,1
12.774673,939,52,1
13.305301,499,82,1
6.526938,4,10,0
11.618902,0,0,1
12.275682,0,0,1
5.270016,43,59,0
5.505171,2,8,0
15.607887,1690,646,1
15.607887,96,50,1
8.201862,18,7,0
15.607887,4492,387,1
15.607887,422,422,1
7.190777,298,252,1
15.607887,1426,273,1
7.550954,28,25,0
7.960817,48,79,0
1.877916,4,78,0
15.607887,949,132,1
5.703536,14494,1193,1
